City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,35.62,93,100,9.22,mist
1,Albany,US,42.6001,-73.9662,73.45,76,40,3.09,scattered clouds
2,Sawakin,SD,19.1059,37.3321,92.89,53,14,3.22,few clouds
3,Rikitea,PF,-23.1203,-134.9692,72.91,74,44,8.48,scattered clouds
4,Khatanga,RU,71.9667,102.5,45.32,58,100,7.56,overcast clouds
5,Carnarvon,AU,-24.8667,113.6333,70.9,29,1,17.0,clear sky
6,Pacific Grove,US,36.6177,-121.9166,72.21,89,100,10.36,overcast clouds
7,Ramgarh,IN,23.6333,85.5167,77.05,96,100,16.84,overcast clouds
8,Cape Town,ZA,-33.9258,18.4232,56.37,73,100,1.99,overcast clouds
9,Upernavik,GL,72.7868,-56.1549,38.41,89,100,3.09,overcast clouds
10,Atikokan,CA,48.7555,-91.6216,66.27,79,97,5.84,overcast clouds
11,Saint George,US,37.1041,-113.5841,90.43,36,0,9.22,clear sky
12,Port Alfred,ZA,-33.5906,26.891,55.18,74,91,7.0,overcast clouds
13,Isla Vista,US,34.4133,-119.861,87.35,58,0,4.61,clear sky
14,Cockburn Town,TC,21.4612,-71.1419,83.66,76,0,20.74,clear sky
15,Porosozero,RU,62.7191,32.727,60.49,79,40,6.13,scattered clouds
16,Santa Maria,BR,-29.6842,-53.8069,41.7,73,0,3.11,clear sky
17,Kapaa,US,22.0752,-159.319,85.98,70,40,13.8,scattered clouds
18,Nikolskoye,RU,59.7035,30.7861,65.8,78,10,6.46,clear sky
19,Amos,CA,48.5669,-78.1162,63.18,80,80,7.36,broken clouds
20,Yellowknife,CA,62.456,-114.3525,71.56,43,100,8.01,overcast clouds
21,Sao Filipe,CV,14.8961,-24.4956,77.99,79,100,7.43,overcast clouds
22,Sur,OM,22.5667,59.5289,88.25,64,84,5.32,broken clouds
23,Camargo,MX,27.6667,-105.1667,79.52,50,73,1.48,broken clouds
24,Clyde River,CA,70.4692,-68.5914,35.83,100,100,9.22,overcast clouds
25,Punta Arenas,CL,-53.15,-70.9167,33.91,86,20,12.66,few clouds
26,Rawson,AR,-43.3002,-65.1023,55.81,56,60,9.22,broken clouds
27,Jamestown,US,42.097,-79.2353,71.24,65,0,5.75,clear sky
28,Egvekinot,RU,66.3167,-179.1667,44.4,53,98,2.13,overcast clouds
29,New Norfolk,AU,-42.7826,147.0587,49.71,73,79,1.99,broken clouds
30,Norman Wells,CA,65.282,-126.8329,57.24,88,100,2.3,overcast clouds
31,Myrtle Beach,US,33.6891,-78.8867,75.27,90,75,5.75,moderate rain
32,Busselton,AU,-33.65,115.3333,58.23,72,100,5.19,overcast clouds
33,Praia Da Vitoria,PT,38.7333,-27.0667,69.76,84,1,1.25,clear sky
