City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,72.91,scattered clouds,-23.1203,-134.9692,People ThankYou
5,Carnarvon,AU,70.9,clear sky,-24.8667,113.6333,Hospitality Carnarvon
6,Pacific Grove,US,72.21,overcast clouds,36.6177,-121.9166,Lovers Point Inn
7,Ramgarh,IN,77.05,overcast clouds,23.6333,85.5167,HOTEL TREAT RESIDENCY
10,Atikokan,CA,66.27,overcast clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
15,Porosozero,RU,60.49,scattered clouds,62.7191,32.727,Porosozero
18,Nikolskoye,RU,65.8,clear sky,59.7035,30.7861,Tourist House - Sablino
19,Amos,CA,63.18,broken clouds,48.5669,-78.1162,Amosphère Resort
20,Yellowknife,CA,71.56,overcast clouds,62.456,-114.3525,The Explorer Hotel
21,Sao Filipe,CV,77.99,overcast clouds,14.8961,-24.4956,Hotel Xaguate
23,Camargo,MX,79.52,broken clouds,27.6667,-105.1667,Hotel Santa Fe
27,Jamestown,US,71.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
31,Myrtle Beach,US,75.27,moderate rain,33.6891,-78.8867,Bay View Resort Myrtle Beach
33,Praia Da Vitoria,PT,69.76,clear sky,38.7333,-27.0667,Hotel Branco I
37,Halifax,CA,68.68,scattered clouds,44.6453,-63.5724,Hotel Halifax
38,Beyneu,KZ,67.62,scattered clouds,45.3167,55.2,NUR
39,Malartic,CA,63.01,broken clouds,48.1335,-78.1328,Camping Regional De Malartic
42,Quatre Cocos,MU,70.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
44,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
48,Leh,IN,63.32,clear sky,34.1667,77.5833,Hotel Ladakh Greens
49,Ketchikan,US,66.18,few clouds,55.3422,-131.6461,Snow's Cove Lodge
50,Arraial Do Cabo,BR,65.16,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
52,Margate,GB,60.31,clear sky,51.3813,1.3862,Premier Inn Margate hotel
54,Ribeira Grande,PT,72.01,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
56,Meulaboh,ID,79.0,broken clouds,4.1363,96.1285,Kost Pria
63,Ponta Delgada,PT,66.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
66,Sokoni,TZ,74.03,clear sky,-6.4333,39.55,Ujamaa Beach Resort
67,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
68,Leshukonskoye,RU,61.12,broken clouds,64.8989,45.7622,Pryalitsa Hostel
78,Faanui,PF,78.39,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
83,Asau,RO,61.72,clear sky,46.4333,26.4,Casa Mika Ciobanus
86,Piney Green,US,76.91,broken clouds,34.716,-77.3202,Holiday City MHC
87,Touros,BR,74.61,clear sky,-5.1989,-35.4608,INN NEW HORIZON
89,La Ronge,CA,67.84,clear sky,55.1001,-105.2842,Northland Motor Hotel
91,Sanary-Sur-Mer,FR,74.61,clear sky,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
95,Morro Bay,US,72.21,few clouds,35.3658,-120.8499,Inn at Morro Bay
97,Canico,PT,70.43,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
99,Nannilam,IN,79.54,heavy intensity rain,10.8793,79.6106,Muthumani Lodge
100,Atuona,PF,76.89,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
101,Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
103,Guarapari,BR,66.88,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
106,Inhambane,MZ,65.28,few clouds,-23.865,35.3833,Oceano
108,Deputatskiy,RU,62.42,broken clouds,69.3,139.9,Baza Otdykha
115,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
116,Chak,PK,75.69,overcast clouds,27.8575,68.8329,Nursery Hotel Chak.
118,Puerto Ayora,EC,67.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
119,Daru,PG,79.07,overcast clouds,-9.0763,143.2092,Daru Lodge
125,Pinega,RU,61.65,overcast clouds,64.7001,43.3936,"Gostevoy Dom Ooo ""Pinezh'yeles"""
126,Solwezi,ZM,61.09,clear sky,-12.1688,26.3894,Country Lodge Solwezi
131,Moba,CN,73.31,scattered clouds,33.2288,105.0179,Xinlong Hotel
132,Laje,BR,67.82,few clouds,-10.1833,-40.9667,NN Pousada
136,Cherskiy,RU,67.17,clear sky,68.75,161.3,Gostinitsa
138,Buritis,BR,72.86,clear sky,-15.6178,-46.4233,Hotel Rainha do Vale
139,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
143,Guerrero Negro,MX,72.43,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
144,Odweyne,SO,72.91,overcast clouds,9.4092,45.064,Eng Hiirey House
145,Saint-Philippe,RE,66.22,scattered clouds,-21.3585,55.7679,Le four à pain
150,Hamilton,US,77.23,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
151,Matagami,CA,63.09,overcast clouds,49.7502,-77.6328,Motel Le Caribou
156,Karratha,AU,75.33,clear sky,-20.7377,116.8463,ibis Styles Karratha
165,Lewistown,US,76.6,few clouds,40.5992,-77.5714,Quality Inn & Suites
166,Puerto Del Rosario,ES,73.15,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
172,Isiro,CD,64.98,light rain,2.7739,27.616,Guest House Hewa Bora
173,Lagoa,PT,71.44,broken clouds,39.05,-27.9833,Casa Das Faias
174,Sechura,PE,62.73,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
176,Nador,MA,77.25,clear sky,35.174,-2.9287,Hôtel La Giralda
178,Suez,EG,77.09,clear sky,29.9737,32.5263,Green House
179,Yantzaza,EC,68.16,moderate rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
